Unix Timestamp,Datetime,Date,Time,Transaction_ID,Television,Dryer,Oven,Refrigerator,Microwave,Line Voltage,Voltage,Apparent Power,Energy Consumption (kWh),Month,Day of the Week,Hour of the Day,Offloading Decision,Is Anomaly
1704056400,2024-01-01 00:00:00,2024-01-01,00:00:00,1,0,0,0,1,0,230.0,230.1,150.0,0.1,January,Monday,0,Local,0
1704057300,2024-01-01 00:15:00,2024-01-01,00:15:00,2,0,0,0,1,0,226.1,226.4,150.0,0.1,January,Monday,0,Local,0
1704058200,2024-01-01 00:30:00,2024-01-01,00:30:00,3,0,0,0,0,0,232.3,231.3,0.0,0.1,January,Monday,0,Local,0
1704059100,2024-01-01 00:45:00,2024-01-01,00:45:00,4,0,0,0,0,0,232.9,235.7,0.0,0.1,January,Monday,0,Local,0
1704060000,2024-01-01 01:00:00,2024-01-01,01:00:00,5,0,0,0,1,0,230.5,229.2,150.0,0.1,January,Monday,1,Local,0
1704060900,2024-01-01 01:15:00,2024-01-01,01:15:00,6,0,0,0,1,0,225.0,225.6,150.0,0.1,January,Monday,1,Local,0
1704061800,2024-01-01 01:30:00,2024-01-01,01:30:00,7,0,0,0,1,0,228.1,228.2,650.0,0.2005,January,Monday,1,Local,0
1704062700,2024-01-01 01:45:00,2024-01-01,01:45:00,8,0,0,0,0,0,230.6,233.3,0.0,0.1,January,Monday,1,Local,0
1704063600,2024-01-01 02:00:00,2024-01-01,02:00:00,9,0,0,0,1,0,228.7,229.9,150.0,0.1,January,Monday,2,Local,0
1704064500,2024-01-01 02:15:00,2024-01-01,02:15:00,10,0,0,0,1,0,232.5,234.9,150.0,0.1,January,Monday,2,Local,0
1704065400,2024-01-01 02:30:00,2024-01-01,02:30:00,11,0,0,0,1,0,232.7,234.5,150.0,0.1,January,Monday,2,Local,0
1704066300,2024-01-01 02:45:00,2024-01-01,02:45:00,12,0,0,0,1,0,236.2,236.9,150.0,0.1,January,Monday,2,Local,0
1704067200,2024-01-01 03:00:00,2024-01-01,03:00:00,13,0,0,0,1,0,232.1,231.6,1150.0,0.4005,January,Monday,3,Local,0
1704068100,2024-01-01 03:15:00,2024-01-01,03:15:00,14,0,0,0,1,0,235.9,235.8,150.0,0.1,January,Monday,3,Local,0
1704069000,2024-01-01 03:30:00,2024-01-01,03:30:00,15,0,0,0,1,0,234.3,232.7,150.0,0.1,January,Monday,3,Local,0
1704069900,2024-01-01 03:45:00,2024-01-01,03:45:00,16,0,0,0,0,0,232.4,231.2,0.0,0.1,January,Monday,3,Local,0
1704070800,2024-01-01 04:00:00,2024-01-01,04:00:00,17,0,0,0,1,0,223.5,228.4,150.0,0.1,January,Monday,4,Local,0
1704071700,2024-01-01 04:15:00,2024-01-01,04:15:00,18,0,0,0,1,0,227.2,223.2,150.0,0.1,January,Monday,4,Local,0
1704072600,2024-01-01 04:30:00,2024-01-01,04:30:00,19,0,0,0,1,0,230.9,235.2,150.0,0.1,January,Monday,4,Local,0
1704073500,2024-01-01 04:45:00,2024-01-01,04:45:00,20,0,0,0,0,0,234.5,232.6,0.0,0.1,January,Monday,4,Local,0
1704074400,2024-01-01 05:00:00,2024-01-01,05:00:00,21,0,0,0,1,0,229.0,225.1,150.0,0.1,January,Monday,5,Local,0
1704075300,2024-01-01 05:15:00,2024-01-01,05:15:00,22,0,0,0,1,0,230.4,231.0,150.0,0.1,January,Monday,5,Local,0
1704076200,2024-01-01 05:30:00,2024-01-01,05:30:00,23,1,0,0,1,0,226.3,225.3,300.0,0.1,January,Monday,5,Local,0
1704077100,2024-01-01 05:45:00,2024-01-01,05:45:00,24,0,0,0,0,0,231.4,233.2,0.0,0.1,January,Monday,5,Local,0
1704078000,2024-01-01 06:00:00,2024-01-01,06:00:00,25,0,0,0,1,0,236.1,235.5,150.0,0.1,January,Monday,6,Local,0
1704078900,2024-01-01 06:15:00,2024-01-01,06:15:00,26,0,0,0,1,0,236.3,236.3,150.0,0.1,January,Monday,6,Local,0
1704079800,2024-01-01 06:30:00,2024-01-01,06:30:00,27,0,0,0,1,0,232.5,231.5,150.0,0.1,January,Monday,6,Local,0
1704080700,2024-01-01 06:45:00,2024-01-01,06:45:00,28,0,0,0,0,0,230.2,231.1,0.0,0.1,January,Monday,6,Local,0
1704081600,2024-01-01 07:00:00,2024-01-01,07:00:00,29,0,0,0,1,0,229.3,228.4,150.0,0.2759,January,Monday,7,Local,1
1704082500,2024-01-01 07:15:00,2024-01-01,07:15:00,30,0,0,0,1,0,234.0,233.4,150.0,0.1,January,Monday,7,Local,0
1704083400,2024-01-01 07:30:00,2024-01-01,07:30:00,31,0,0,0,1,0,229.5,228.3,150.0,0.1,January,Monday,7,Local,0
1704084300,2024-01-01 07:45:00,2024-01-01,07:45:00,32,0,0,0,1,0,231.0,231.1,150.0,0.1,January,Monday,7,Local,0
1704085200,2024-01-01 08:00:00,2024-01-01,08:00:00,33,0,0,0,1,0,230.0,230.0,150.0,0.1,January,Monday,8,Local,0
1704086100,2024-01-01 08:15:00,2024-01-01,08:15:00,34,0,0,0,1,0,228.3,229.9,150.0,0.1,January,Monday,8,Local,0
1704087000,2024-01-01 08:30:00,2024-01-01,08:30:00,35,0,0,0,1,0,224.2,223.8,150.0,0.1,January,Monday,8,Local,0
1704087900,2024-01-01 08:45:00,2024-01-01,08:45:00,36,0,0,0,0,0,231.8,231.6,0.0,0.1,January,Monday,8,Local,0
1704088800,2024-01-01 09:00:00,2024-01-01,09:00:00,37,1,0,0,1,0,231.5,232.8,300.0,0.1,January,Monday,9,Local,0
1704089700,2024-01-01 09:15:00,2024-01-01,09:15:00,38,0,0,0,1,0,235.1,232.9,150.0,0.1,January,Monday,9,Local,0
1704090600,2024-01-01 09:30:00,2024-01-01,09:30:00,39,0,0,0,1,0,228.2,227.3,2150.0,0.6734,January,Monday,9,Local,0
1704091500,2024-01-01 09:45:00,2024-01-01,09:45:00,40,0,0,0,0,0,232.8,231.8,0.0,0.1,January,Monday,9,Local,0
1704092400,2024-01-01 10:00:00,2024-01-01,10:00:00,41,0,0,0,1,0,230.8,231.9,150.0,0.1,January,Monday,10,Local,0
1704093300,2024-01-01 10:15:00,2024-01-01,10:15:00,42,0,0,0,1,0,232.0,236.2,150.0,0.1,January,Monday,10,Local,0
1704094200,2024-01-01 10:30:00,2024-01-01,10:30:00,43,0,0,0,1,0,227.3,224.5,150.0,0.1,January,Monday,10,Local,0
1704095100,2024-01-01 10:45:00,2024-01-01,10:45:00,44,0,0,0,0,0,227.0,228.3,0.0,0.1,January,Monday,10,Local,0
1704096000,2024-01-01 11:00:00,2024-01-01,11:00:00,45,0,0,0,0,0,230.4,226.7,0.0,0.1,January,Monday,11,Local,0
1704096900,2024-01-01 11:15:00,2024-01-01,11:15:00,46,0,0,0,1,0,230.7,233.7,150.0,0.1,January,Monday,11,Local,0
1704097800,2024-01-01 11:30:00,2024-01-01,11:30:00,47,0,0,0,1,1,230.5,232.9,1350.0,0.3639,January,Monday,11,Local,0
1704098700,2024-01-01 11:45:00,2024-01-01,11:45:00,48,0,0,0,0,0,230.2,229.3,0.0,0.1,January,Monday,11,Local,0
1704099600,2024-01-01 12:00:00,2024-01-01,12:00:00,49,0,0,0,1,0,227.0,228.4,150.0,0.1,January,Monday,12,Local,0
1704100500,2024-01-01 12:15:00,2024-01-01,12:15:00,50,0,0,0,1,0,228.0,228.5,150.0,0.1,January,Monday,12,Local,0
1704101400,2024-01-01 12:30:00,2024-01-01,12:30:00,51,1,0,1,1,0,225.3,225.1,3300.0,0.8299,January,Monday,12,Local,0
1704102300,2024-01-01 12:45:00,2024-01-01,12:45:00,52,0,0,0,0,0,224.8,222.5,0.0,0.1,January,Monday,12,Local,0
1704103200,2024-01-01 13:00:00,2024-01-01,13:00:00,53,0,0,1,1,0,226.7,225.5,3150.0,1.0919,January,Monday,13,Local,0
1704104100,2024-01-01 13:15:00,2024-01-01,13:15:00,54,0,0,0,1,0,229.2,231.6,150.0,0.1,January,Monday,13,Local,0
1704105000,2024-01-01 13:30:00,2024-01-01,13:30:00,55,0,0,1,1,1,230.4,231.9,4350.0,1.418,January,Monday,13,Local,0
1704105900,2024-01-01 13:45:00,2024-01-01,13:45:00,56,0,0,0,0,1,232.8,234.4,1200.0,0.3721,January,Monday,13,Local,0
1704106800,2024-01-01 14:00:00,2024-01-01,14:00:00,57,0,1,0,1,0,230.3,231.4,2650.0,0.76,January,Monday,14,Local,0
1704107700,2024-01-01 14:15:00,2024-01-01,14:15:00,58,0,0,0,1,1,231.2,230.2,1350.0,0.4354,January,Monday,14,Local,0
1704108600,2024-01-01 14:30:00,2024-01-01,14:30:00,59,0,0,0,1,0,227.6,229.6,150.0,0.1,January,Monday,14,Local,0
1704109500,2024-01-01 14:45:00,2024-01-01,14:45:00,60,0,0,0,0,0,230.0,233.5,0.0,0.1,January,Monday,14,Local,0
1704110400,2024-01-01 15:00:00,2024-01-01,15:00:00,61,0,1,0,1,0,221.6,223.5,3450.0,1.2785,January,Monday,15,Local,0
1704111300,2024-01-01 15:15:00,2024-01-01,15:15:00,62,0,0,0,1,0,226.1,224.0,150.0,0.1,January,Monday,15,Local,0
1704112200,2024-01-01 15:30:00,2024-01-01,15:30:00,63,0,0,0,1,0,230.9,230.9,150.0,0.1,January,Monday,15,Local,0
1704113100,2024-01-01 15:45:00,2024-01-01,15:45:00,64,0,0,0,0,0,229.7,230.4,0.0,0.1,January,Monday,15,Local,0
1704114000,2024-01-01 16:00:00,2024-01-01,16:00:00,65,0,0,0,1,0,232.7,231.8,150.0,0.1,January,Monday,16,Local,0
1704114900,2024-01-01 16:15:00,2024-01-01,16:15:00,66,0,1,0,1,0,227.8,227.8,2650.0,0.7796,January,Monday,16,Local,0
1704115800,2024-01-01 16:30:00,2024-01-01,16:30:00,67,0,0,0,1,0,232.5,234.5,2150.0,0.6708,January,Monday,16,Local,0
1704116700,2024-01-01 16:45:00,2024-01-01,16:45:00,68,0,0,0,1,0,225.6,226.3,150.0,0.1,January,Monday,16,Local,0
1704117600,2024-01-01 17:00:00,2024-01-01,17:00:00,69,1,1,1,1,0,234.3,231.1,5800.0,1.9658,January,Monday,17,Local,0
1704118500,2024-01-01 17:15:00,2024-01-01,17:15:00,70,1,0,0,1,0,228.6,230.4,300.0,0.1,January,Monday,17,Local,0
1704119400,2024-01-01 17:30:00,2024-01-01,17:30:00,71,0,0,1,1,0,232.3,234.8,3150.0,1.1552,January,Monday,17,Local,0
1704120300,2024-01-01 17:45:00,2024-01-01,17:45:00,72,0,0,0,0,1,230.9,230.7,1200.0,0.4039,January,Monday,17,Local,0
1704121200,2024-01-01 18:00:00,2024-01-01,18:00:00,73,1,0,1,1,0,233.1,232.3,3300.0,1.0809,January,Monday,18,Local,0
1704122100,2024-01-01 18:15:00,2024-01-01,18:15:00,74,1,0,0,0,0,227.0,227.8,150.0,0.1,January,Monday,18,Local,0
1704123000,2024-01-01 18:30:00,2024-01-01,18:30:00,75,1,0,1,1,0,229.6,228.7,3300.0,0.961,January,Monday,18,Local,0
1704123900,2024-01-01 18:45:00,2024-01-01,18:45:00,76,0,0,1,0,0,231.4,231.3,3000.0,0.918,January,Monday,18,Local,0
1704124800,2024-01-01 19:00:00,2024-01-01,19:00:00,77,1,0,0,1,0,233.6,234.5,300.0,0.1,January,Monday,19,Local,0
1704125700,2024-01-01 19:15:00,2024-01-01,19:15:00,78,1,1,1,1,0,227.1,227.8,5800.0,1.8829,January,Monday,19,Local,0
1704126600,2024-01-01 19:30:00,2024-01-01,19:30:00,79,1,1,1,1,1,230.9,232.5,7000.0,1.8365,January,Monday,19,Local,0
1704127500,2024-01-01 19:45:00,2024-01-01,19:45:00,80,1,0,0,0,1,227.8,225.7,1350.0,0.4366,January,Monday,19,Local,0
1704128400,2024-01-01 20:00:00,2024-01-01,20:00:00,81,1,0,0,1,0,224.1,225.2,300.0,0.1,January,Monday,20,Local,0
1704129300,2024-01-01 20:15:00,2024-01-01,20:15:00,82,1,0,0,1,0,228.2,228.3,300.0,0.1,January,Monday,20,Local,0
